RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,ZHVI
97712,8672,94502,Zip,CA,CA,Alameda,San Francisco-Oakland-Hayward,Alameda County,1217241
60959,8672,8069,Zip,NJ,NJ,Carneys Point,Philadelphia-Camden-Wilmington,Salem County,151421
96393,8675,91377,Zip,CA,CA,Oak Park,Oxnard-Thousand Oaks-Ventura,Ventura County,1016180
93681,8675,81082,Zip,CO,CO,Trinidad,,Las Animas County,208592
92715,8675,78861,Zip,TX,TX,Hondo,San Antonio-New Braunfels,Medina County,212328
75352,8678,39563,Zip,MS,MS,Moss Point,Gulfport-Biloxi-Pascagoula,Jackson County,67763
84289,8678,60020,Zip,IL,IL,Fox Lake,Chicago-Naperville-Elgin,Lake County,190582
73976,8680,36617,Zip,AL,AL,Mobile,Mobile,Mobile County,44913
96925,8680,92582,Zip,CA,CA,San Jacinto,Riverside-San Bernardino-Ontario,Riverside County,460651
66096,8682,19943,Zip,DE,DE,Felton,Dover,Kent County,292745
100301,8683,99615,Zip,AK,AK,Kodiak,,Kodiak Island Borough,369595
61657,8684,10044,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,919447
61908,8685,10804,Zip,NY,NY,New Rochelle,New York-Newark-Jersey City,Westchester County,916754
90245,8686,74033,Zip,OK,OK,Glenpool,Tulsa,Tulsa County,175017
85952,8687,63134,Zip,MO,MO,Berkeley,St. Louis,Saint Louis County,95710
60213,8688,6238,Zip,CT,CT,Coventry,Hartford-West Hartford-East Hartford,Tolland County,295362
70955,8689,30204,Zip,GA,GA,Barnesville,Atlanta-Sandy Springs-Roswell,Lamar County,
89449,8690,72212,Zip,AR,AR,Little Rock,Little Rock-North Little Rock-Conway,Pulaski County,314845
74772,8691,38340,Zip,TN,TN,Henderson,Jackson,Chester County,
93943,8691,82520,Zip,WY,WY,Lander,Riverton,Fremont County,
92566,8691,78629,Zip,TX,TX,Gonzales,,Gonzales County,175368
79316,8694,48661,Zip,MI,MI,West Branch,,Ogemaw County,141922
93239,8695,80107,Zip,CO,CO,Elizabeth,Denver-Aurora-Lakewood,Elbert County,662478
76476,8695,43031,Zip,OH,OH,Johnstown,Columbus,Licking County,339874
